word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
sebenarnya,0,0,0,0,0,0,1,0,0,0
aktualitas,0,0,0,0,0,0,0,0,0,0
aktuaris,0,0,0,0,0,0,0,0,0,0
ketajaman,0,0,0,0,0,0,1,0,0,0
ketajaman,0,0,0,0,0,0,1,0,0,0
akupunktur,0,0,0,0,0,0,0,0,0,0
secara akut,0,0,0,0,0,0,0,0,0,0
pepatah,0,0,0,0,0,0,0,0,0,0
bersikeras,0,0,0,0,0,0,0,0,0,0
menyesuaikan,0,0,0,0,0,0,1,0,0,0
mudah beradaptasi,0,0,0,0,0,0,1,0,0,0
menambahkan,0,0,0,0,0,0,0,0,0,0
ditambahkan,0,0,0,0,0,0,0,0,0,0
tambahan,0,0,0,0,0,0,0,0,0,0
penambah,1,0,1,1,0,1,0,1,0,0
kecanduan,0,0,0,0,0,1,0,0,0,0
tambahan,0,0,0,0,0,0,0,0,0,0
tambahan,0,0,0,0,0,0,0,0,0,0
aditif,0,0,0,0,0,0,0,0,0,0
alamat,0,0,0,0,0,0,0,0,0,0
penerima,0,0,0,0,0,0,0,0,0,0
alamat,0,1,0,0,0,0,1,0,0,0
mahir,0,0,0,0,0,0,1,0,0,0
kecukupan,0,0,0,0,0,0,1,0,0,0
memadai,0,0,0,0,0,0,0,0,0,0
mengikuti,0,0,0,0,0,0,0,0,0,0
ketaatan,0,0,0,0,0,0,0,0,0,0
penganut,0,0,0,0,0,0,0,0,0,0
mengikuti,0,0,0,0,0,0,0,0,0,1
adhesi,0,0,0,0,0,0,0,0,0,0
perekat,0,0,0,0,0,0,0,0,0,0
kata perpisahan,0,0,0,0,0,0,0,0,0,0
lemak,0,0,0,0,0,1,0,0,0,0
kedekatan,0,0,0,0,0,0,0,0,0,0
bersebelahan,0,0,0,0,0,0,0,0,0,0
kata sifat,0,0,0,0,0,0,0,0,0,0
berdampingan,0,0,0,0,0,0,0,0,0,0
menunda,0,0,0,0,0,0,0,0,0,0
penundaan,0,0,0,0,0,0,0,0,0,0
mengadili,0,0,0,1,0,1,0,0,0,0
pengadilan,0,0,0,0,0,0,0,0,0,0
tambahan,0,0,0,0,0,0,1,0,0,0
menyesuaikan,0,0,0,0,0,0,0,0,0,0
pengaturan,0,0,0,0,0,0,0,0,0,0
pembantu,0,0,0,0,0,0,0,0,0,0
mengelola,0,0,0,0,0,0,0,0,0,0
administrasi,0,0,0,0,0,0,0,0,0,0
administratif,0,0,0,0,0,0,0,0,0,1
terpuji,0,0,0,0,1,0,1,0,0,1
laksamana,0,0,0,0,0,0,1,0,0,1
laksamana,0,0,0,0,0,0,0,0,0,0
kekaguman,0,0,0,0,1,0,1,0,0,1
mengagumi,0,0,0,0,0,0,1,0,0,1
pengagum,0,0,0,0,0,0,1,0,0,0
penerimaan,0,0,0,0,0,0,0,0,0,0
dapat diterima,0,0,0,0,0,0,1,0,0,1
penerimaan,0,0,0,0,0,0,0,0,0,0
mengakui,0,0,0,0,0,0,0,0,0,0
masuk,0,0,0,0,0,0,0,0,0,0
diterima,0,0,0,0,0,0,0,0,0,0
mengakui,0,0,0,0,0,0,0,0,0,0
campuran,0,0,0,0,0,0,0,0,0,0
peringatan,0,0,0,1,0,1,0,0,0,0
ribut,0,0,0,0,0,0,0,0,0,0
adobe,0,0,0,0,0,0,0,0,0,0
masa remaja,0,0,0,0,0,0,0,0,0,0
remaja,0,0,0,0,0,0,0,0,0,0
mengambil,0,0,0,0,0,0,0,0,0,0
adopsi,0,0,0,0,0,0,0,0,0,0
menggemaskan,0,0,0,0,1,0,1,0,0,0
pemujaan,0,0,0,0,1,0,1,0,0,1
cinta,0,1,0,0,1,0,1,0,0,1
menghiasi,0,0,0,0,0,0,0,0,0,0
perhiasan,0,0,0,0,0,0,0,0,0,0
terpaut,0,1,0,1,0,1,0,1,0,0
dewasa,0,0,0,0,0,0,0,0,0,0
dipalsukan,0,0,0,0,0,1,0,0,0,0
zina,0,0,1,0,0,1,0,1,0,0
maju,0,1,0,1,1,0,1,0,1,0
canggih,0,0,0,0,0,0,1,0,0,0
kemajuan,0,0,0,0,0,0,1,0,0,0
maju,0,0,0,0,0,0,0,0,0,0
keuntungan,0,0,0,0,0,0,1,0,0,0
menguntungkan,0,0,0,0,0,0,1,0,0,0
kedatangan,0,1,0,0,1,0,1,0,0,1
petualangan,0,1,0,0,0,0,1,0,0,0
petualang,0,0,0,0,0,0,0,0,0,0
petualang,0,0,0,0,0,0,1,0,0,0
musuh,1,0,0,0,0,1,0,0,0,0
merugikan,1,0,1,1,0,1,0,1,0,0
kesulitan,1,0,0,1,0,1,0,1,0,0
mengiklankan,0,0,0,0,0,0,0,0,0,0
iklan,0,0,0,0,0,0,0,0,0,0
nasihat,0,0,0,0,0,0,0,0,0,1
sebaiknya,0,0,0,0,0,0,1,0,0,1
menasihati,0,0,0,0,0,0,1,0,0,1
disarankan,0,0,0,0,0,0,0,0,0,1
saran,0,0,0,0,0,0,0,0,0,0
penasihat,0,0,0,0,0,0,1,0,0,1
pembelaan,1,1,0,0,1,0,1,0,0,1
menganjurkan,0,0,0,0,0,0,0,0,0,1
perlindungan,0,0,0,0,0,0,0,0,0,0
aerasi,0,0,0,0,0,0,0,0,0,0
udara,0,0,0,0,0,0,0,0,0,0
lapangan terbang,0,0,0,0,0,0,0,0,0,0
aerodinamika,0,0,0,0,0,0,0,0,0,0
aeronautika,0,0,0,0,0,0,0,0,0,0
pesawat terbang,0,0,0,0,0,0,0,0,0,0
estetis,0,0,0,0,0,0,1,0,0,0
estetika,0,0,0,0,1,0,1,0,0,0
etiologi,0,0,0,0,0,0,0,0,0,0
jauh,0,0,0,0,0,0,0,0,0,0
ramah,0,0,0,0,0,0,1,0,0,0
perselingkuhan,0,0,0,0,0,0,0,0,0,0
mempengaruhi,0,0,0,0,0,0,0,0,0,0
kasih sayang,0,0,0,0,1,0,1,0,0,1
kasih sayang,0,0,0,0,0,0,0,0,0,0
affiche,0,0,0,0,0,0,0,0,0,0
surat sumpah,0,0,0,0,0,0,0,0,0,0
berafiliasi,0,0,0,0,0,0,1,0,0,0
afiliasi,0,0,0,0,0,0,0,0,0,0
afinitas,0,0,0,0,0,0,0,0,0,0
menegaskan,0,0,0,0,0,0,1,0,0,1
afirmasi,0,0,0,0,0,0,1,0,0,0
setuju,0,0,0,0,0,0,1,0,0,0
dengan tegas,0,0,0,0,0,0,1,0,0,1
afiks,0,0,0,0,0,0,0,0,0,0
menimpa,0,0,0,1,0,1,0,1,0,0
menderita,0,0,0,0,0,1,0,0,0,0
penderitaan,0,0,1,1,0,1,0,1,0,0
kemakmuran,0,0,0,0,1,0,1,0,0,0
makmur,0,0,0,0,0,0,1,0,0,0
memberi,0,0,0,0,0,0,1,0,0,0
penghinaan,1,0,1,1,0,1,0,1,1,0
jauh,0,0,0,0,0,0,0,0,0,0
di depan,0,0,0,0,0,0,0,0,0,0
tersebut di atas,0,0,0,0,0,0,0,0,0,0
tersebut di atas,0,0,0,0,0,0,0,0,0,0
takut,0,0,0,1,0,1,0,0,0,0
lagi,0,0,0,0,0,0,0,0,0,0
buritan,0,0,0,0,0,0,0,0,0,0
akibat,1,0,1,1,0,1,0,1,0,0
sore,0,0,0,0,0,0,0,0,0,0
sisa rasa,0,0,0,0,0,1,0,0,0,0
renungan,0,0,0,0,0,0,0,0,0,0
lagi,0,0,0,1,0,0,1,0,0,1
batu akik,0,0,0,0,0,0,0,0,0,0
usia,0,0,0,0,0,0,0,0,0,0
berumur,0,0,0,0,0,0,0,0,0,0
agen,0,0,0,0,0,0,0,0,0,0
agen,0,0,0,0,0,0,0,0,0,0
pengelompokan,0,0,0,0,0,0,0,0,0,0
diperparah,1,0,0,0,0,1,0,0,0,0
memberatkan,1,0,0,0,0,1,0,1,0,0
kejengkelan,1,0,1,0,0,1,0,0,0,0
agregat,0,0,0,0,0,0,0,0,0,0
pengumpulan,0,0,0,0,0,0,0,0,0,0
agresi,1,0,0,1,0,1,0,0,0,0
agresif,1,0,0,1,0,1,0,0,0,0
agresor,1,0,0,1,0,1,0,0,0,0
terperanjat,0,0,1,1,0,1,0,0,1,0
lincah,0,0,0,0,0,0,1,0,0,0
kelincahan,0,0,0,0,0,0,1,0,0,0
gelisah,1,0,0,0,0,1,0,0,0,0
agitasi,1,0,0,0,0,1,0,0,0,0
agnostis,0,0,0,0,0,0,0,0,0,0
yang lalu,0,0,0,0,0,0,0,0,0,0
menyiksa,0,0,0,1,0,1,0,0,0,0
rasa sakit,1,0,0,1,0,1,0,1,0,0
setuju,0,0,0,0,0,0,1,0,0,0
menyenangkan,0,0,0,0,0,0,1,0,0,1
sepakat,0,0,0,0,0,0,1,0,0,1
setuju,0,0,0,0,0,0,1,0,0,1
persetujuan,0,0,0,0,0,0,1,0,0,1
pertanian,0,0,0,0,0,0,0,0,0,0
pertanian,0,0,0,0,0,0,1,0,0,0
kandas,0,0,0,0,0,1,0,0,0,0
agua,0,0,0,0,0,0,0,0,0,0
di depan,0,0,0,0,0,0,1,0,0,0
bantuan,0,0,0,0,0,0,1,0,0,0
membantu,0,0,0,0,0,0,1,0,0,0
bersakit,0,0,0,0,0,1,0,1,0,0
sakit,0,0,0,1,0,1,0,1,0,0
penyakit,0,0,0,0,0,0,0,0,0,0
tujuan,0,0,0,0,0,0,0,0,0,0
tanpa tujuan,0,0,0,0,0,1,0,0,0,0
udara,0,0,0,0,0,0,0,0,0,0
kantong udara,0,0,0,0,0,0,0,0,0,0
angkutan udara,0,0,0,0,0,0,0,0,0,0
perusahaan penerbangan,0,0,0,0,0,0,0,0,0,0
pilot,0,0,0,0,0,0,0,0,0,0
pesawat terbang,0,0,0,0,0,0,0,0,0,0
Bandara,0,1,0,0,0,0,0,0,0,0
mengudara,0,0,1,0,0,1,0,0,0,0
kapal udara,0,0,0,0,0,0,0,0,0,0
lorong,0,0,0,0,0,0,0,0,0,0
ait,0,0,0,0,0,0,0,0,0,0
terbuka sedikit,0,0,0,0,0,0,0,0,0,0
mirip,0,0,0,0,0,0,0,0,0,1
pualam,0,0,0,0,0,0,1,0,0,0
alarm,0,0,0,1,0,1,0,0,1,0
menggelisahkan,0,0,0,1,0,1,0,0,1,0
alb,0,0,0,0,0,0,0,0,0,1
album,0,0,0,0,0,0,0,0,0,0
alkimia,0,0,0,0,0,0,0,0,0,0
alkohol,0,0,0,0,0,0,0,0,0,0
alkoholisme,1,0,1,1,0,1,0,1,0,0
ceruk,0,0,0,0,0,0,0,0,0,0
peringatan,0,0,0,0,0,0,0,0,0,0
kewaspadaan,0,1,0,1,0,0,1,0,1,0
peringatan,0,1,0,1,0,0,0,0,1,0
alfalfa,0,0,0,0,0,0,0,0,0,0
aljabar,0,0,0,0,0,0,0,0,0,0
aljabar,0,0,0,0,0,0,0,0,0,0
algoritma,0,0,0,0,0,0,0,0,0,0
alibi,0,0,0,0,0,0,0,0,0,0
asing,0,0,1,1,0,1,0,0,0,0
menjauhkan,1,0,1,0,0,1,0,0,0,0
terasing,0,0,0,0,0,1,0,1,0,0
pengasingan,1,0,1,1,0,1,0,1,0,0
turun,0,0,0,0,0,0,0,0,0,0
selaras,0,0,0,0,0,0,0,0,0,0
penyelarasan,0,0,0,0,0,0,0,0,0,0
sama,0,0,0,0,0,0,0,0,0,0
makanan,0,0,0,0,0,0,1,0,0,0
alimentasi,0,0,0,0,0,1,0,0,0,0
alikuot,0,0,0,0,0,0,0,0,0,0
hidup,0,1,0,0,1,0,1,0,0,1
alkali,0,0,0,0,0,0,0,0,0,0
alkaloid,0,0,0,0,0,0,0,0,0,0
menenangkan,0,0,0,0,0,0,1,0,0,0
tuduhan,1,0,0,0,0,1,0,0,0,0
mengatakan,0,0,0,0,0,1,0,0,0,0
dugaan,0,0,0,0,0,0,0,0,0,0
kesetiaan,0,0,0,0,0,0,1,0,0,1
alegoris,0,0,0,0,0,0,0,0,0,0
alegori,0,0,0,0,0,0,0,0,0,0
alegro,0,0,0,0,0,0,1,0,0,0
meringankan,0,0,0,0,0,0,1,0,0,0
pengurangan,0,0,0,0,0,0,1,0,0,0
gang,0,0,0,0,0,0,0,0,0,0
persekutuan,0,0,0,0,0,0,0,0,0,1
bersekutu,0,0,0,0,0,0,1,0,0,1
buaya,0,0,0,0,0,0,0,0,0,0
mengalokasikan,0,0,0,0,0,0,0,0,0,0
alokasi,0,0,0,0,0,0,0,0,0,0
membagikan,0,0,0,0,0,0,0,0,0,0
peruntukan,0,0,0,0,0,0,0,0,0,0
diperbolehkan,0,0,0,0,0,0,1,0,0,0
uang saku,0,0,0,0,0,0,0,0,0,0
diizinkan,0,0,0,0,0,0,0,0,0,0
paduan,0,0,0,0,0,0,0,0,0,0
daya tarik,0,1,0,0,1,0,1,0,1,0
menarik,0,0,0,0,0,0,1,0,0,0
kiasan,0,0,0,0,0,0,0,0,0,0
aluvial,0,0,0,0,0,0,0,0,0,0
sekutu,0,0,0,0,0,0,1,0,0,1
almanak,0,0,0,0,0,0,0,0,0,0
mahakuasa,0,0,0,0,0,0,1,0,0,0
tinggi,0,0,0,0,0,0,0,0,0,0
aloha,0,1,0,0,1,0,1,0,0,0
di samping,0,0,0,0,0,0,0,0,0,0
jauh,0,0,0,0,0,1,0,0,0,0
nyaring,0,0,0,0,0,0,0,0,0,0
alfabet,0,0,0,0,0,0,0,0,0,0
alfabetis,0,0,0,0,0,0,0,0,0,0
altar,0,0,0,0,0,0,0,0,0,0
mengubah,0,0,0,0,0,0,0,0,0,0
perubahan,0,0,0,0,0,0,0,0,0,0
pertengkaran,1,0,0,0,0,1,0,0,0,0
diubah,0,0,0,0,0,0,0,0,0,0
bergantian,0,0,0,0,0,0,0,0,0,0
alternatif,0,0,0,0,0,0,0,0,0,0
ketinggian,0,0,0,0,0,0,0,0,0,0
alto,0,0,0,0,0,0,0,0,0,0
sama sekali,0,0,0,0,0,0,0,0,0,0
lulusan,0,0,0,0,0,0,0,0,0,0
alveolar,0,0,0,0,0,0,0,0,0,0
campuran,0,0,0,0,0,0,0,0,0,0
penggabungan,0,0,0,0,0,0,0,0,0,0
mengumpulkan,0,0,0,0,0,0,0,0,0,0
amatir,0,0,0,0,0,0,0,0,0,0
menakjubkan,0,0,0,0,0,0,0,0,1,0
keheranan,0,0,0,0,0,0,0,0,0,0
luar biasa,0,0,0,0,1,0,1,0,1,0
duta besar,0,0,0,0,0,0,1,0,0,1
amber,0,0,0,0,0,0,0,0,0,0
Sekelilingnya,0,0,0,0,0,0,0,0,0,0
kemenduaan,0,0,0,0,0,0,0,0,0,0
ambigu,0,0,0,0,0,1,0,0,0,0
berambisi,0,0,0,0,0,0,0,0,0,0
ambisi,0,1,0,0,1,0,1,0,0,1
ambisius,0,0,0,0,0,0,0,0,0,0
ambulans,0,0,0,1,0,0,0,0,0,1
penyergapan,1,0,0,1,0,1,0,0,1,0
memperbaiki,0,0,0,0,0,0,1,0,0,0
Amin,0,0,0,0,1,0,1,0,0,1
menerima,0,0,0,0,0,0,1,0,0,0
mengubah,0,0,0,0,0,0,1,0,0,0
amandemen,0,0,0,0,0,0,0,0,0,0
mengubah,0,0,0,0,0,0,1,0,0,0
kenyamanan,0,0,0,0,0,0,1,0,0,0
kecubung,0,0,0,0,0,0,0,0,0,0
ramah,0,0,0,0,0,0,1,0,0,0
ramah tamah,0,0,0,0,1,0,1,0,0,0
di tengah,0,0,0,0,0,0,0,0,0,0
di tengah-tengah,0,0,0,0,0,0,0,0,0,0
amonia,0,0,1,0,0,0,0,0,0,0
amunisi,0,0,0,0,0,0,0,0,0,0
amnesia,0,0,0,0,0,1,0,0,0,0
amnesti,0,0,0,0,1,0,1,0,0,0
amorf,0,0,0,0,0,0,0,0,0,0
amortisasi,0,0,0,0,0,0,0,0,0,1
jumlah,0,0,0,0,0,0,0,0,0,0
cinta,0,1,0,0,1,0,1,0,0,1
simbol untuk 'dan,0,0,0,0,0,0,0,0,0,0
amfetamin,0,0,1,0,0,1,0,0,0,0
amfibi,0,0,0,0,0,0,0,0,0,0
amfibi,0,0,0,0,0,0,0,0,0,0
ampiteater,0,0,0,0,0,0,0,0,0,0
amplifikasi,0,0,0,0,0,0,0,0,0,0
memperkuat,0,0,0,0,0,0,0,0,0,0
amplitudo,0,0,0,0,0,0,0,0,0,0
cukup,0,0,0,0,0,0,0,0,0,0
amputasi,0,0,0,0,0,0,0,0,0,0
jimat,0,0,0,0,0,0,0,0,0,0
menghibur,0,0,0,0,1,0,1,0,0,0
terhibur,0,0,0,0,1,0,1,0,0,0
hiburan,0,0,0,0,1,0,1,0,0,0
menyenangkan,0,0,0,0,1,0,1,0,0,0
ana,0,0,0,0,0,0,0,0,0,0
anakonda,0,0,1,1,0,1,0,0,0,0
anestesi,0,0,0,0,0,0,0,0,0,0
obat bius,0,0,0,0,0,0,0,0,0,0
anal,0,0,0,0,0,1,0,0,0,0
analgesik,0,0,0,0,0,0,0,0,0,0
sejalan,0,0,0,0,0,0,0,0,0,0
analog,0,0,0,0,0,0,0,0,0,0
analogi,0,0,0,0,0,0,0,0,0,0
analisis,0,0,0,0,0,0,0,0,0,0
analis,0,1,0,0,0,0,1,0,0,1
analitik,0,0,0,0,0,0,0,0,0,0
menganalisa,0,0,0,0,0,0,0,0,0,0
penganalisa,0,0,0,0,0,0,0,0,0,0
anarkisme,1,0,0,1,0,1,0,0,0,0
anarkis,1,0,0,1,0,1,0,0,0,0
anarki,1,0,0,1,0,1,0,0,0,0
anastomosis,0,0,0,0,0,0,0,0,0,0
laknat,1,0,1,1,0,1,0,1,0,0
anatomis,0,0,0,0,0,0,0,0,0,0
ilmu urai,0,0,0,0,0,0,0,0,0,0
leluhur,0,0,0,0,0,0,0,0,0,0
leluhur,0,0,0,0,0,0,0,0,0,1
keturunan,0,0,0,0,0,0,0,0,0,0
jangkar,0,0,0,0,0,0,1,0,0,0
pelabuhan,0,0,0,0,0,0,1,1,0,0
kuno,0,0,0,0,0,1,0,0,0,0
tambahan,0,0,0,0,0,0,0,0,0,0
androgen,0,0,0,0,0,0,0,0,0,0
anemon,0,0,0,0,0,0,0,0,0,0
lagi,0,0,0,0,0,0,0,0,0,0
malaikat,0,1,0,0,1,0,1,0,1,1
seperti malaikat,0,0,0,0,1,0,1,0,0,1
amarah,1,0,0,0,0,1,0,0,0,0
angina,0,0,0,1,0,1,0,0,0,0
angiografi,0,0,0,0,0,0,0,0,0,0
sudut,0,0,0,0,0,0,0,0,0,0
memancing,0,1,0,0,0,1,0,0,0,0
marah,1,0,1,0,0,1,0,0,0,0
derita,1,0,0,1,0,1,0,1,0,0
bersudut,0,0,0,0,0,0,0,0,0,0
anhidrat,0,0,0,0,0,0,0,0,0,0
satwa,0,0,0,0,0,0,0,0,0,0
menghidupkan,0,0,0,0,0,0,1,0,0,0
animasi,0,0,0,0,1,0,1,0,0,0
animasi,0,0,0,0,0,0,0,0,0,0
kebencian,1,0,1,1,0,1,0,1,0,0
kebencian,1,0,0,0,0,1,0,0,0,0
pergelangan kaki,0,0,0,0,0,0,0,0,0,0
sejarah,0,0,0,0,0,0,0,0,0,0
mencaplok,0,0,0,0,0,0,0,0,0,0
aneksasi,0,0,0,0,0,0,0,0,0,0
pavilyun,0,0,0,0,0,0,0,0,0,0
membinasakan,1,0,0,1,0,1,0,0,0,0
musnah,1,0,0,1,0,1,0,1,0,0
penghancuran,1,0,0,1,0,1,0,1,0,0
membubuhi keterangan,0,0,0,0,0,0,0,0,0,0
anotasi,0,0,0,0,0,0,0,0,0,0
mengumumkan,0,0,0,0,0,0,0,0,0,0
pengumuman,0,1,0,0,0,0,0,0,0,0
mengganggu,1,0,1,0,0,1,0,0,0,0
gangguan,1,0,1,0,0,1,0,0,0,0
mengganggu,1,0,0,0,0,1,0,0,0,0
anuitas,0,0,0,0,0,0,0,0,0,0
membatalkan,0,0,0,0,0,1,0,0,0,0
berbentuk lingkaran,0,0,0,0,0,0,0,0,0,0
pembatalan,0,0,0,0,0,1,0,1,0,0
anulus,0,0,0,0,0,0,0,0,0,0
urapan,0,0,0,0,0,0,0,0,0,0
